iter	RMSE
0	14.21493619
1	13.30952662
2	12.53229403
3	11.79723746
4	11.13669626
5	10.59688745
6	10.04600869
7	9.605863534
8	9.178993991
9	8.743412368
10	8.360358029
11	8.043496689
12	7.772584901
13	7.561020749
14	7.302309882
15	7.053750076
16	6.852220559
17	6.690545326
18	6.514440864
19	6.364326635
20	6.249015876
21	6.136824277
22	6.038452522
23	5.948127699
24	5.862981925
25	5.803216117
26	5.741621146
27	5.685375719
28	5.6208781
29	5.570473003
30	5.5186414
31	5.466322825
32	5.41866631
33	5.387010454
34	5.3516458
35	5.32146688
36	5.295786394
37	5.265110941
38	5.245110612
39	5.220863378
40	5.199580655
41	5.183786744
42	5.167920257
43	5.155484249
44	5.133358536
45	5.111702648
46	5.093429564
47	5.080320689
48	5.064628071
49	5.046962176
50	5.033972505
51	5.015041073
52	4.991939578
53	4.980660913
54	4.962338754
55	4.949534146
56	4.945094582
57	4.936268872
58	4.92339909
59	4.91386123
60	4.89898465
61	4.883509393
62	4.874931148
63	4.865483604
64	4.859466123
65	4.846080873
66	4.833871102
67	4.814513571
68	4.806694985
69	4.794781194
70	4.787448293
71	4.78063517
72	4.770922259
73	4.761751734
74	4.745250559
75	4.743461762
76	4.734697149
77	4.718427064
78	4.707429383
79	4.693264538
80	4.687243018
81	4.67539192
82	4.66544362
83	4.659025715
84	4.654547969
85	4.649377356
86	4.642897131
87	4.623090524
88	4.610548152
89	4.607899401
90	4.604566946
91	4.598092312
92	4.59323375
93	4.588822374
94	4.571791075
95	4.561822204
96	4.548238785
97	4.532530108
98	4.522291287
99	4.514961826
