iter	Passed	Remaining
0	163	163245
1	165	82567
2	167	55599
3	169	42141
4	171	34062
5	173	28680
6	175	24844
7	177	21948
8	178	19679
9	180	17889
10	182	16417
11	184	15181
12	186	14133
13	187	13222
14	189	12440
15	191	11751
16	192	11142
17	194	10602
18	195	10112
19	197	9672
20	199	9278
21	200	8917
22	202	8592
23	203	8288
24	205	8015
25	207	7761
26	208	7527
27	210	7304
28	212	7101
29	213	6906
30	215	6725
31	216	6549
32	217	6386
33	219	6236
34	221	6093
35	222	5959
36	224	5831
37	225	5714
38	227	5601
39	228	5494
40	230	5390
41	231	5290
42	233	5193
43	234	5102
44	236	5017
45	238	4943
46	240	4866
47	241	4793
48	243	4729
49	245	4664
50	247	4600
51	248	4535
52	250	4475
53	252	4416
54	253	4357
55	255	4303
56	257	4252
57	258	4197
58	260	4146
59	261	4099
60	263	4055
61	264	4007
62	266	3961
63	267	3917
64	269	3876
65	271	3837
66	272	3796
67	274	3757
68	275	3717
69	276	3680
70	278	3643
71	279	3607
72	281	3572
73	282	3538
74	284	3508
75	286	3480
76	287	3451
77	289	3420
78	291	3395
79	292	3365
80	293	3332
81	295	3303
82	296	3275
83	298	3253
84	299	3227
85	301	3202
86	302	3176
87	304	3152
88	305	3130
89	307	3106
90	308	3084
91	310	3061
92	311	3041
93	313	3020
94	315	3002
95	316	2982
96	318	2964
97	319	2944
98	321	2924
99	322	2904
100	324	2886
101	325	2867
102	327	2850
103	328	2834
104	330	2816
105	331	2798
106	333	2782
107	334	2765
108	336	2749
109	337	2733
110	338	2711
111	340	2696
112	341	2683
113	343	2670
114	344	2654
115	346	2639
116	347	2624
117	349	2609
118	350	2593
119	351	2579
120	353	2566
121	354	2553
122	356	2541
123	358	2530
124	359	2517
125	361	2504
126	362	2491
127	363	2479
128	365	2467
129	366	2455
130	368	2444
131	370	2433
132	371	2424
133	373	2415
134	375	2405
135	376	2393
136	378	2383
137	379	2372
138	381	2362
139	382	2351
140	383	2336
141	385	2329
142	387	2321
143	388	2306
144	389	2297
145	391	2287
146	392	2277
147	394	2268
148	395	2258
149	397	2249
150	398	2242
151	400	2234
152	401	2225
153	403	2216
154	405	2208
155	406	2200
156	408	2192
157	409	2184
158	411	2176
159	413	2169
160	414	2162
161	416	2154
162	417	2146
163	419	2139
164	420	2130
165	422	2122
166	424	2115
167	425	2108
168	427	2102
169	429	2095
170	430	2088
171	432	2080
172	433	2073
173	435	2066
174	436	2059
175	438	2052
176	440	2046
177	441	2040
178	443	2034
179	445	2027
180	446	2021
181	448	2015
182	450	2009
183	451	2002
184	453	1997
185	454	1990
186	456	1985
187	458	1979
188	459	1973
189	461	1967
190	463	1962
191	464	1955
192	466	1950
193	468	1944
194	469	1938
195	471	1932
196	472	1927
197	474	1921
198	475	1915
199	477	1909
200	479	1904
201	480	1899
202	482	1894
203	484	1889
204	485	1884
205	487	1879
206	488	1873
207	490	1868
208	492	1862
209	493	1857
210	495	1851
211	496	1846
212	498	1840
213	499	1835
214	501	1831
215	502	1825
216	504	1820
217	506	1815
218	507	1810
219	509	1807
220	511	1802
221	512	1797
222	514	1793
223	516	1788
224	517	1783
225	519	1778
226	520	1773
227	522	1768
228	523	1762
229	525	1757
230	526	1753
231	528	1749
232	529	1744
233	531	1739
234	532	1734
235	534	1730
236	536	1725
237	537	1721
238	539	1716
239	540	1711
240	542	1707
241	543	1703
242	545	1697
243	546	1693
244	547	1688
245	549	1684
246	550	1679
247	552	1674
248	553	1670
249	555	1665
250	556	1661
251	558	1656
252	559	1652
253	561	1648
254	562	1644
255	564	1639
256	565	1634
257	566	1630
258	568	1625
259	569	1621
260	571	1616
261	572	1612
262	574	1608
263	575	1604
264	577	1600
265	578	1596
266	580	1592
267	581	1588
268	582	1584
269	584	1580
270	585	1575
271	587	1571
272	588	1567
273	590	1563
274	591	1559
275	593	1555
276	594	1551
277	595	1547
278	597	1543
279	599	1540
280	600	1536
281	601	1532
282	603	1528
283	604	1525
284	606	1521
285	607	1517
286	609	1513
287	610	1509
288	612	1505
289	613	1502
290	615	1498
291	616	1495
292	618	1491
293	619	1488
294	621	1484
295	622	1481
296	624	1477
297	625	1473
298	627	1470
299	628	1466
300	629	1462
301	631	1458
302	632	1455
303	634	1452
304	635	1448
305	637	1445
306	638	1442
307	640	1438
308	641	1435
309	643	1432
310	644	1428
311	646	1425
312	648	1422
313	649	1419
314	650	1415
315	652	1411
316	653	1408
317	655	1405
318	656	1402
319	658	1399
320	659	1396
321	661	1392
322	662	1389
323	664	1386
324	665	1383
325	667	1379
326	668	1376
327	670	1373
328	671	1369
329	673	1366
330	674	1363
331	676	1360
332	677	1357
333	679	1354
334	680	1351
335	682	1348
336	683	1345
337	685	1342
338	686	1339
339	688	1336
340	689	1333
341	691	1330
342	692	1327
343	694	1324
344	695	1321
345	697	1318
346	698	1314
347	700	1311
348	701	1308
349	703	1305
350	704	1302
351	706	1299
352	707	1296
353	709	1293
354	710	1290
355	711	1287
356	713	1284
357	714	1281
358	716	1278
359	717	1275
360	719	1273
361	720	1270
362	722	1267
363	723	1264
364	725	1261
365	726	1258
366	728	1255
367	729	1253
368	731	1250
369	732	1247
370	733	1244
371	735	1241
372	736	1238
373	738	1235
374	739	1232
375	741	1230
376	742	1227
377	744	1224
378	745	1221
379	747	1218
380	748	1216
381	749	1213
382	751	1210
383	752	1207
384	754	1204
385	755	1202
386	757	1199
387	758	1196
388	759	1193
389	761	1191
390	762	1188
391	764	1185
392	765	1182
393	767	1180
394	769	1178
395	770	1175
396	772	1172
397	773	1169
398	774	1167
399	776	1164
400	778	1162
401	779	1159
402	781	1157
403	782	1154
404	784	1152
405	786	1149
406	787	1147
407	789	1144
408	790	1142
409	792	1139
410	793	1137
411	795	1134
412	796	1132
413	798	1129
414	799	1127
415	801	1124
416	802	1121
417	804	1119
418	805	1117
419	807	1114
420	808	1112
421	810	1109
422	811	1107
423	813	1104
424	814	1102
425	816	1100
426	818	1097
427	819	1095
428	821	1093
429	823	1090
430	824	1088
431	826	1086
432	827	1084
433	829	1081
434	831	1079
435	832	1076
436	834	1074
437	835	1072
438	837	1069
439	838	1067
440	840	1065
441	841	1062
442	843	1060
443	844	1058
444	846	1055
445	847	1053
446	848	1049
447	850	1047
448	851	1045
449	853	1042
450	854	1040
451	856	1038
452	857	1035
453	859	1033
454	860	1030
455	862	1028
456	863	1026
457	865	1023
458	866	1021
459	868	1019
460	869	1016
461	871	1014
462	872	1011
463	873	1009
464	875	1007
465	876	1004
466	878	1002
467	879	999
468	881	997
469	882	995
470	884	992
471	885	990
472	887	988
473	888	985
474	889	983
475	891	981
476	892	978
477	894	976
478	895	974
479	897	971
480	898	969
481	900	967
482	901	964
483	902	962
484	904	960
485	905	957
486	907	955
487	908	953
488	909	950
489	911	948
490	912	946
491	914	944
492	915	941
493	917	939
494	918	937
495	920	935
496	921	932
497	923	930
498	924	928
499	926	926
500	927	923
501	928	921
502	930	919
503	931	916
504	933	914
505	934	912
506	936	910
507	937	908
508	939	906
509	940	904
510	942	901
511	943	899
512	945	897
513	946	895
514	948	892
515	949	890
516	950	888
517	952	886
518	954	884
519	955	882
520	957	879
521	958	877
522	960	875
523	961	873
524	963	871
525	964	869
526	966	867
527	967	865
528	969	862
529	970	860
530	971	858
531	973	856
532	974	854
533	976	851
534	977	849
535	978	847
536	980	845
537	981	842
538	983	840
539	984	838
540	985	836
541	987	834
542	988	832
543	989	829
544	991	827
545	993	825
546	994	823
547	996	821
548	997	819
549	999	817
550	1000	815
551	1002	813
552	1003	811
553	1005	809
554	1006	806
555	1007	804
556	1009	802
557	1010	800
558	1011	798
559	1013	796
560	1014	793
561	1015	791
562	1017	789
563	1018	787
564	1020	785
565	1021	783
566	1023	781
567	1024	779
568	1026	777
569	1027	775
570	1029	773
571	1030	771
572	1032	769
573	1033	767
574	1034	764
575	1036	762
576	1037	760
577	1039	758
578	1040	756
579	1042	754
580	1043	752
581	1045	750
582	1046	748
583	1048	746
584	1049	744
585	1051	742
586	1052	740
587	1053	738
588	1055	736
589	1057	734
590	1058	732
591	1059	730
592	1061	728
593	1062	726
594	1064	724
595	1065	722
596	1066	720
597	1068	718
598	1069	716
599	1071	714
600	1073	712
601	1074	710
602	1075	708
603	1077	706
604	1078	704
605	1080	702
606	1081	700
607	1082	698
608	1084	696
609	1086	694
610	1087	692
611	1089	690
612	1090	688
613	1092	686
614	1093	684
615	1094	682
616	1096	680
617	1097	678
618	1099	676
619	1100	674
620	1101	672
621	1103	670
622	1104	668
623	1106	666
624	1107	664
625	1109	662
626	1110	660
627	1112	659
628	1114	657
629	1115	655
630	1117	653
631	1118	651
632	1120	649
633	1121	647
634	1122	645
635	1124	643
636	1125	641
637	1127	639
638	1128	637
639	1130	635
640	1131	633
641	1133	631
642	1134	629
643	1135	627
644	1137	626
645	1138	624
646	1140	622
647	1141	620
648	1143	618
649	1144	616
650	1146	614
651	1147	612
652	1149	610
653	1150	608
654	1151	606
655	1153	604
656	1154	602
657	1156	600
658	1157	599
659	1159	597
660	1160	595
661	1162	593
662	1163	591
663	1165	589
664	1166	587
665	1168	585
666	1169	584
667	1171	582
668	1172	580
669	1174	578
670	1175	576
671	1176	574
672	1178	572
673	1179	570
674	1181	568
675	1182	566
676	1183	564
677	1185	562
678	1186	561
679	1188	559
680	1189	557
681	1191	555
682	1192	553
683	1194	551
684	1195	549
685	1197	548
686	1199	546
687	1200	544
688	1201	542
689	1203	540
690	1205	538
691	1206	537
692	1208	535
693	1209	533
694	1211	531
695	1212	529
696	1214	527
697	1216	526
698	1217	524
699	1219	522
700	1221	520
701	1222	519
702	1224	517
703	1226	515
704	1227	513
705	1229	511
706	1230	510
707	1232	508
708	1233	506
709	1235	504
710	1236	502
711	1238	500
712	1239	499
713	1241	497
714	1243	495
715	1244	493
716	1246	491
717	1247	490
718	1249	488
719	1250	486
720	1252	484
721	1253	482
722	1255	480
723	1256	479
724	1258	477
725	1259	475
726	1261	473
727	1263	471
728	1264	470
729	1266	468
730	1268	466
731	1269	464
732	1271	463
733	1272	461
734	1273	459
735	1275	457
736	1277	455
737	1278	453
